index,time,dc,bytes
764,2021-03-13 12:18:55,1248,1248.0
765,2021-03-13 12:19:28,338,1248.0
766,2021-03-13 12:19:39,338,338.0
767,2021-03-13 12:19:50,338,338.0
768,2021-03-13 12:20:23,1299,338.0
769,2021-03-13 12:20:34,1299,1299.0
770,2021-03-13 12:20:45,1299,1299.0
771,2021-03-13 12:21:18,1540,1540.0
772,2021-03-13 12:21:29,1540,1540.0
773,2021-03-13 12:21:40,1540,1540.0
774,2021-03-13 12:22:12,1948,1540.0
775,2021-03-13 12:22:23,1948,1948.0
776,2021-03-13 12:22:34,1948,1948.0
777,2021-03-13 12:23:24,395,395.0
778,2021-03-13 12:23:35,395,395.0
779,2021-03-13 12:24:08,2103,395.0
780,2021-03-13 12:24:19,2103,2103.0
781,2021-03-13 12:24:30,2103,2103.0
782,2021-03-13 12:25:04,1975,2103.0
783,2021-03-13 12:25:15,1975,1975.0
784,2021-03-13 12:25:26,1975,1975.0
785,2021-03-13 12:25:59,1187,1975.0
786,2021-03-13 12:26:10,1187,1187.0
787,2021-03-13 12:26:21,1187,1187.0
788,2021-03-13 12:27:00,1122,1187.0
789,2021-03-13 12:27:11,1122,1122.0
790,2021-03-13 12:27:22,1122,1122.0
791,2021-03-13 12:28:01,740,1122.0
792,2021-03-13 12:28:12,740,740.0
793,2021-03-13 12:28:23,740,740.0
794,2021-03-13 12:29:02,1692,740.0
795,2021-03-13 12:29:13,1692,1692.0
796,2021-03-13 12:29:24,1692,1692.0
797,2021-03-13 12:30:04,466,466.0
798,2021-03-13 12:30:15,466,466.0
799,2021-03-13 12:30:26,466,466.0
800,2021-03-13 12:31:05,450,466.0
801,2021-03-13 12:31:16,450,450.0
802,2021-03-13 12:31:28,450,450.0
803,2021-03-13 12:32:00,297,450.0
804,2021-03-13 12:32:11,297,297.0
805,2021-03-13 12:32:22,297,297.0
806,2021-03-13 12:33:01,141,297.0
807,2021-03-13 12:33:12,141,141.0
808,2021-03-13 12:33:23,141,141.0
809,2021-03-13 12:33:56,102,102.0
810,2021-03-13 12:35:11,102,102.0
811,2021-03-13 12:35:52,100,102.0
812,2021-03-13 12:36:03,100,100.0
813,2021-03-13 12:36:14,100,100.0
814,2021-03-13 12:36:53,161,100.0
815,2021-03-13 12:37:04,161,161.0
816,2021-03-13 12:37:15,161,161.0
817,2021-03-13 12:37:54,252,102.0
818,2021-03-13 12:38:05,252,252.0
819,2021-03-13 12:38:16,252,252.0
820,2021-03-13 12:38:49,400,252.0
821,2021-03-13 12:39:00,400,400.0
822,2021-03-13 12:39:12,400,400.0
823,2021-03-13 12:41:03,1342,374.0
824,2021-03-13 12:41:45,1667,1342.0
825,2021-03-13 12:41:57,1667,1667.0
826,2021-03-13 12:42:08,1667,1667.0
827,2021-03-13 12:42:46,1951,1667.0
828,2021-03-13 12:42:57,1951,1951.0
829,2021-03-13 12:43:08,1951,1951.0
830,2021-03-13 12:43:42,1961,1961.0
831,2021-03-13 12:43:53,1961,1961.0
832,2021-03-13 12:44:04,1961,1961.0
833,2021-03-13 12:44:42,1734,1961.0
834,2021-03-13 12:44:54,1734,1734.0
835,2021-03-13 12:45:05,1734,1734.0
836,2021-03-13 12:45:38,1703,1734.0
837,2021-03-13 12:45:49,1703,1703.0
838,2021-03-13 12:46:00,1703,1703.0
839,2021-03-13 12:46:39,1160,1703.0
840,2021-03-13 12:46:50,1160,1160.0
841,2021-03-13 12:47:01,1160,1160.0
842,2021-03-13 12:47:35,1024,1024.0
843,2021-03-13 12:49:10,2291,1342.0
844,2021-03-13 12:49:43,878,878.0
845,2021-03-13 12:49:53,878,878.0
846,2021-03-13 12:50:04,878,878.0
847,2021-03-13 12:50:38,2053,878.0
848,2021-03-13 12:50:49,2053,2053.0
849,2021-03-13 12:51:00,2053,2053.0
850,2021-03-13 12:51:33,1449,2053.0
851,2021-03-13 12:51:44,1449,1449.0
852,2021-03-13 12:51:55,1449,1449.0
853,2021-03-13 12:52:34,535,1449.0
854,2021-03-13 12:52:45,535,535.0
855,2021-03-13 12:52:56,535,535.0
856,2021-03-13 12:53:29,493,535.0
857,2021-03-13 12:53:40,493,493.0
858,2021-03-13 12:53:51,493,493.0
859,2021-03-13 12:54:24,339,493.0
860,2021-03-13 12:54:35,339,339.0
861,2021-03-13 12:54:46,339,339.0
862,2021-03-13 12:55:25,227,339.0
863,2021-03-13 12:55:36,227,227.0
864,2021-03-13 12:55:47,227,227.0
865,2021-03-13 12:56:27,206,206.0
866,2021-03-13 12:56:38,206,206.0
867,2021-03-13 12:56:48,206,206.0
868,2021-03-13 12:57:21,206,206.0
869,2021-03-13 12:57:32,206,206.0
870,2021-03-13 12:57:43,206,206.0
871,2021-03-13 12:58:17,278,206.0
872,2021-03-13 12:58:28,278,278.0
873,2021-03-13 12:58:39,278,278.0
874,2021-03-13 12:59:15,989,989.0
875,2021-03-13 13:00:30,765,765.0
876,2021-03-13 13:00:40,765,765.0
877,2021-03-13 13:01:13,2002,2002.0
878,2021-03-13 13:01:24,2002,2002.0
879,2021-03-13 13:01:35,2002,2002.0
880,2021-03-13 13:02:14,475,2002.0
881,2021-03-13 13:02:25,475,475.0
882,2021-03-13 13:02:36,475,475.0
883,2021-03-13 13:03:15,382,475.0
884,2021-03-13 13:03:26,382,382.0
885,2021-03-13 13:03:37,382,382.0
886,2021-03-13 13:04:17,299,382.0
887,2021-03-13 13:04:28,299,299.0
888,2021-03-13 13:04:39,299,299.0
889,2021-03-13 13:05:12,229,299.0
890,2021-03-13 13:05:23,229,229.0
891,2021-03-13 13:05:34,229,229.0
892,2021-03-13 13:06:13,227,229.0
893,2021-03-13 13:07:05,291,765.0
894,2021-03-13 13:07:16,291,291.0
895,2021-03-13 13:07:27,291,291.0
896,2021-03-13 13:08:09,386,291.0
897,2021-03-13 13:08:20,386,386.0
898,2021-03-13 13:08:31,386,386.0
899,2021-03-13 13:09:11,611,611.0
